SYear|District_Number|District_Name|All_Perc_Instr_Func_17|All_Instr_Media_Func_17|All_Staff_Devel_Func_17|All_Instr_Leads_Func_17|All_School_Leads_Func_17|All_Guid_Counsl_Func_17|All_Social_Work_Func_17|All_Hlth_Serv_Func_17|All_Transport_Func_17|All_Food_Serv_Func_17|All_Extra_Curr_Func_17|All_Gen_Admin_Func_17|All_Plant_Main_Func_17|All_Security_Mon_Func_17|All_Data_Process_Func_17|All_Community_Serv_Func_17
16-17|112901|SULPHUR SPRINGS ISD|59.41|1.27|1.16|3.71|4.1|2.62|0.09|1.17|3.2|5.99|2.74|2.99|9.22|1.15|1.17|0.0
16-17|112905|CUMBY ISD|55.36|0.84|0.03|1.2|5.19|1.62|0|0.86|1.19|6.26|7.76|8.31|11.2|0.12|0.06|0.0
16-17|112906|NORTH HOPKINS ISD|56.19|0.56|0.41|1.17|5.79|1|0|0.1|1.89|7.82|3.38|7.41|11.06|0.82|2.39|0.01
16-17|112907|MILLER GROVE ISD|55.75|1.68|0.5|0.65|7.78|0|0|0.01|2.78|6.37|3|6.7|13.11|0|1.67|0.0
16-17|112908|COMO-PICKTON CISD|59.42|1.15|0.06|0|4.28|1.2|0|0.63|2.7|6.83|5.64|4.57|12.25|0.85|0.42|0.0
16-17|112909|SALTILLO ISD|55.07|1.09|0.41|2.84|4.32|6.15|0|2|3.06|5.03|3.32|4.52|9.02|1.62|1.54|0.0
16-17|112910|SULPHUR BLUFF ISD|46.38|1.63|0.61|0|9.63|2.31|0|0.56|2.8|5.12|4.07|8.71|12.73|0|5.44|0.0
16-17|113901|CROCKETT ISD|54.3|0.15|0.01|0.51|6.08|3.19|0|0.78|4.5|7.75|4.86|6.12|9.93|0.08|1.73|0.0
16-17|113902|GRAPELAND ISD|52.64|0.49|0.51|0|5.8|3.16|0|0.91|4.14|6.14|5.68|5.83|12.66|0|2.04|0.0
16-17|113903|LOVELADY ISD|56.32|1.11|0.02|0|6.72|1.27|0|0.98|4.04|4.73|5.26|6.32|9.6|0|3.63|0.0
16-17|113905|LATEXO ISD|58.7|0.95|0.01|0|5.21|1.15|0|1.01|3.67|4.64|4.78|8.11|9.36|0.03|2.39|0.0
16-17|113906|KENNARD ISD|47.58|0.92|0.46|0|7.3|2.25|0|1.78|5.1|4.46|2.48|10.07|15.71|0.05|1.84|0.0
16-17|061901|DENTON ISD|60.78|1.6|2.08|1.02|5.25|4.79|0.27|0.94|2.17|4.16|2.74|2.64|8.79|0.35|1.59|0.80999999999999994
16-17|061902|LEWISVILLE ISD|60.74|1.34|0.82|1.94|6.31|4.2|0.02|1.09|2.86|4.28|2.47|2.01|8.13|0.44|2.01|1.3200000000000001
16-17|061903|PILOT POINT ISD|56.39|1.19|0.42|0.57|6.83|2.19|0|1.05|2.91|3.96|5.11|5.2|10.37|0.51|2.56|0.75
16-17|061905|KRUM ISD|53.73|1.04|0.56|1.12|7.38|2.9|0|1.19|3.38|4.53|4.15|4.09|11.66|0.19|2.29|1.79
16-17|061906|PONDER ISD|58|1.22|1.33|0|5.77|1.81|0|0.46|3.59|5.17|5.32|5.06|11.02|0.08|1.17|0.0
16-17|061907|AUBREY ISD|57.72|2.12|1.42|0.16|6.52|2.2|0|0.89|5.04|3.74|4.66|4.41|9.25|0.56|0|1.3
16-17|061908|SANGER ISD|55.36|0.76|1.3|0.99|6.23|6.5|0|0.91|2.69|4.33|2.74|3.87|12.12|0.19|1.2|0.80000000000000004
16-17|061910|ARGYLE ISD|56.95|1.45|0.22|0.87|5.18|1.83|0|1.3|3.42|5.21|6.29|3.94|10.41|0.78|2.15|0.0
16-17|061911|NORTHWEST ISD|57.6|1.25|2.86|0.56|4.93|3.79|0.13|0.92|4.36|4.03|4.61|2.82|8.71|0.75|2.58|8.0000000000000002E-2
16-17|061912|LAKE DALLAS ISD|56.06|1.45|2.74|1.3|5.33|3.64|0.05|0.83|2.67|4.91|3.58|3.4|11.73|0.38|1.92|0.0
16-17|061914|LITTLE ELM ISD|56.61|1.01|2.05|1.81|6.51|2.9|0.05|0.81|2.26|5.73|3.72|4.31|8.91|1.26|1.85|0.17999999999999999
16-17|062901|CUERO ISD|53.93|1.08|2.17|0.95|4.42|3.11|0.38|1.87|3.77|4.75|4.33|2.82|11.68|0.46|3.62|0.66000000000000003
16-17|178914|FLOUR BLUFF ISD|55.7|1.21|0.61|2.33|4.88|3.53|0.18|0.76|3.31|6.02|4.43|2.99|10.99|1.16|1.77|0.12
16-17|178915|WEST OSO ISD|55.72|1.56|1.26|1.34|4.43|4.22|0|0.56|1.29|5.59|3.5|6.02|12.74|0.98|0.8|0.02
16-17|179901|PERRYTON ISD|58.75|1.59|0.53|1.19|5.59|3.63|0|1.15|1.55|6.17|5.76|3.84|9.19|0|1.03|0.01
16-17|180901|BOYS RANCH ISD|65.16|3.08|0.77|0.06|10.08|6.51|0|0|0|0|4.81|7.98|0.38|0|1.17|0.0
16-17|180902|VEGA ISD|56.42|1.33|0.34|0.1|5.55|1.54|0|1.29|1.17|5.35|6.31|8.21|9.83|0.13|2.43|0.0
16-17|180903|ADRIAN ISD|49.26|0.43|1.22|0|3.8|0.28|0|0.4|8.09|5.63|3.36|13.41|12.35|0.06|1.71|0.0
16-17|180904|WILDORADO ISD|42.31|1.15|0.37|0.18|4.81|1.51|0|0.51|2.78|4.26|2.1|14.68|24.12|0|1.22|0.0
16-17|181901|BRIDGE CITY ISD|53.29|2.58|1.76|0.77|5.48|2.62|0|0.99|2.77|5.23|5.31|4.69|13.81|0.38|0.33|0.0
16-17|181905|ORANGEFIELD ISD|49.37|1.45|3.41|1.04|4.97|3.32|0.07|1.21|4.43|5.99|7.52|4.49|12.23|0.13|0.37|0.0
16-17|181906|WEST ORANGE-COVE CISD|50.02|0.92|2.76|1.61|5.78|2.6|0.93|0.7|3.96|5.94|3.95|5.35|13.66|0.24|1.48|8.9999999999999997E-2
16-17|181907|VIDOR ISD|55.8|1.12|2.73|0.55|6.39|4.21|0|1.03|3.26|5.85|2.31|3.73|11.14|1.12|0.57|0.19
16-17|181908|LITTLE CYPRESS-MAURICEVILLE CISD|55.79|3.56|0.33|2.89|5.93|3.87|0|1.26|3.68|4.02|3.15|3.35|11.75|0.06|0.35|0.01
16-17|241903|EL CAMPO ISD|56.8|1.71|2.78|2.04|5.47|4.61|0|0.5|2.57|5.46|3.59|3.42|10.33|0.36|0.18|0.17999999999999999
16-17|241904|WHARTON ISD|52.42|2.34|1.53|1.49|6.71|4.29|0|0.88|1.98|5.21|4.64|3.97|13.55|0.43|0.52|4.0000000000000001E-2
16-17|241906|LOUISE ISD|55.47|0.7|0.35|0|7.51|1.47|0|0.64|4.04|4.98|4|8.25|11.71|0.25|0.63|0.0
16-17|242902|SHAMROCK ISD|58.9|1.24|0.21|3.63|5.08|7.71|0|0.78|0.68|3.93|4.82|4.66|7.47|0.15|0.73|0.0
16-17|242903|WHEELER ISD|57.88|0.58|0.11|0|4.98|0.36|0|1.56|1.78|5.65|4.64|10.79|9.86|0|1.81|0.0
16-17|242905|KELTON ISD|52.01|0.21|0.72|0|3.93|0.03|0|0.45|3.04|7.72|3.81|9.61|13.43|0|5.03|0.0
16-17|242906|FORT ELLIOTT CISD|40.13|0.87|2.06|1.24|5.89|1.73|0|0.02|3.2|7.05|4.92|10.4|20.82|0|1.58|8.9999999999999997E-2
16-17|243901|BURKBURNETT ISD|54.21|1.64|2.85|0.62|4.7|3.56|0.17|0.96|1.36|4.73|4.85|3.47|15.42|0.35|1.07|4.0000000000000001E-2
16-17|243902|ELECTRA ISD|52.6|0.87|0.16|1.67|6.26|1.14|1.02|0.18|0.91|5.43|7.58|7.08|12.27|0.06|2.75|0.0
16-17|243903|IOWA PARK CISD|55.99|1.18|0.72|0|4.28|2.08|0|0.77|1.62|5.08|6.05|4.27|13.09|1.11|3.75|0.0
16-17|243905|WICHITA FALLS ISD|58.68|1.11|1.5|1.99|5.62|4.24|0.4|1.17|2.01|5.53|3.19|2.8|8.56|0.49|2.39|0.32000000000000001
16-17|114901|BIG SPRING ISD|53.87|1.14|2.24|1.34|6.62|2.86|0.26|0.94|2.01|6.68|3.42|2.92|13.63|0.03|2.03|0.0
16-17|114902|COAHOMA ISD|53.35|0.84|0.21|1.97|5.69|7.41|0|0.85|2.7|4.31|4.8|5.25|10.49|0.49|1.64|0.0
16-17|114904|FORSAN ISD|52.65|0.81|0.39|0|6.15|2.17|0|0.65|3.11|6.49|5.84|6.37|10.68|0.58|3.83|0.27999999999999997
16-17|115901|FT HANCOCK ISD|49.61|2.32|2.5|0.64|5.64|4.01|0.09|0.59|3.22|5.35|3.59|6.77|12.82|0.08|2.46|0.31
16-17|115902|SIERRA BLANCA ISD|53.51|0.04|0.47|0|5.51|0.86|0|0|1.09|5.74|4.86|14.4|10.54|0|2.99|0.0
16-17|115903|DELL CITY ISD|39.73|0.05|0.88|0.11|5.66|2.66|0|0.1|3.29|4.87|4.74|21.74|13.6|0|1.84|0.73999999999999999
16-17|116901|CADDO MILLS ISD|54.2|2.03|0.79|1.4|7.53|2.15|0|0.97|1.51|5.29|5.36|5.59|11.82|0.67|0.69|0.0
16-17|116902|CELESTE ISD|54.41|0.92|0.21|0|4.78|2.09|0|0.59|1.36|5.37|7.02|4.35|15.37|0.02|3.49|0.02
16-17|116903|COMMERCE ISD|50.57|0.72|2.14|2.14|5.67|8.39|0|0.86|3.32|4.76|3.96|3.94|10.42|0.54|2.59|0.0
