DISTRICT|SYear|Grad_4yr_All_18|Grad_4yr_Afam_18|Grad_4yr_Hisp_18|Grad_4yr_White_18
001902|17-18|95.7|-1|.|97.6
001903|17-18|97.8|100|100|97.2
001904|17-18|100|100|-1|100
001906|17-18|100|-1|100|100
001907|17-18|95.9|90.7|97.6|97.3
001908|17-18|97|100|100|95.3
001909|17-18|100|.|-1|100
002901|17-18|95.8|-1|95.2|96.9
003801|17-18|100|-1|100|100
003902|17-18|95|90|100|94
003903|17-18|90.6|88.7|90.2|92
003904|17-18|94.2|-1|77.8|95.7
003905|17-18|97|94.7|98.5|95.7
003906|17-18|100|.|-1|100
003907|17-18|94|100|94.1|94.4
004901|17-18|91.6|-1|93.3|89.5
005901|17-18|97.8|.|-1|97.5
005902|17-18|100|.|100|100
005904|17-18|100|.|100|100
006902|17-18|100|-1|.|100
007901|17-18|100|.|100|-1
007902|17-18|96.4|.|97.3|98.3
007904|17-18|93.2|-1|92.2|100
007905|17-18|93.5|.|91.9|97.1
007906|17-18|90.5|-1|90.2|91.7
008901|17-18|98.8|100|100|98.2
008902|17-18|98|95.8|96.8|100
008903|17-18|91.4|83.3|92.6|91.7
009901|17-18|100|.|100|100
010901|17-18|90.9|.|-1|87.5
010902|17-18|92.1|-1|88.7|93.5
011901|17-18|95.7|98.1|94.6|96.7
011902|17-18|91.7|91.2|90.6|95.5
011904|17-18|93.8|100|93.8|92.6
011905|17-18|.|.|.|.
012901|17-18|97.9|.|90.9|100
013801|17-18|.|.|.|.
013901|17-18|91|100|91.4|86.8
013902|17-18|.|.|.|.
013903|17-18|84.4|.|73.3|94.1
013905|17-18|96.7|.|94.7|100
014801|17-18|33.5|26.2|32.3|42.9
014803|17-18|68.2|-1|83.3|66.7
014804|17-18|91.5|-1|72.2|97.1
014901|17-18|94.8|-1|91.4|95.9
014902|17-18|100|-1|100|100
014903|17-18|97.2|100|95.2|97.5
014905|17-18|100|-1|100|100
014906|17-18|87.1|87.6|86.7|86.3
014907|17-18|100|-1|100|100
014908|17-18|100|-1|100|100
014909|17-18|89.3|88.8|88.4|92
014910|17-18|99.1|-1|100|100
015801|17-18|42.1|57.1|39.5|66.7
015802|17-18|88.5|92.3|77.8|-1
015805|17-18|.|.|.|.
015806|17-18|91.7|100|83.3|-1
015807|17-18|91.3|100|87.5|100
015808|17-18|-1|.|-1|.
015809|17-18|.|.|.|.
015814|17-18|22.5|-1|22.4|-1
015815|17-18|100|.|100|-1
015822|17-18|100|100|100|-1
015825|17-18|.|.|.|.
015826|17-18|92.9|100|92.4|-1
015827|17-18|98.2|-1|97.2|100
015828|17-18|95.5|-1|95.7|83.3
015830|17-18|96.8|-1|97.4|90.9
015831|17-18|90.9|-1|100|-1
015833|17-18|92.3|.|90|100
015834|17-18|.|.|.|.
015835|17-18|.|.|.|.
015836|17-18|.|.|.|.
015837|17-18|.|.|.|.
015838|17-18|.|.|.|.
015901|17-18|96.9|-1|96.9|97.4
015904|17-18|94.3|-1|94.3|94.4
015905|17-18|90.7|71.4|91.1|83.3
015906|17-18|100|100|100|100
015907|17-18|83.1|77.3|83.8|69.2
015908|17-18|50.9|-1|50.5|-1
015909|17-18|93.5|-1|93.1|96
015910|17-18|91.6|86.8|89.7|95.1
015911|17-18|91.7|90.1|92.1|91.7
015912|17-18|93.8|92.9|93.5|97.1
015913|17-18|97.3|100|100|93.3
015914|17-18|100|100|100|100
015915|17-18|95.9|95.1|95.6|96.8
015916|17-18|85.2|87.5|84.2|86
015917|17-18|89.8|-1|91.5|69.2
016901|17-18|93.7|.|100|90
016902|17-18|100|.|100|100
017901|17-18|100|-1|-1|100
018901|17-18|98.7|-1|100|100
018902|17-18|97.2|.|100|96
018903|17-18|88.9|-1|80|-1
018904|17-18|97.9|-1|100|97.1
018905|17-18|100|.|100|100
018906|17-18|100|.|-1|100
018907|17-18|94.4|.|.|94.4
018908|17-18|88.9|.|-1|80
019901|17-18|93.1|88.9|-1|95.5
019902|17-18|100|100|100|100
019903|17-18|100|-1|-1|100
019905|17-18|97.9|100|-1|97
019906|17-18|100|-1|-1|100
019907|17-18|95.6|95.8|92.5|96.3
019908|17-18|92.7|95.9|100|86.3
019909|17-18|100|.|-1|100
019910|17-18|.|.|.|.
019911|17-18|.|.|.|.
019912|17-18|98.3|100|100|97.6
019913|17-18|.|.|.|.
019914|17-18|.|.|.|.
020901|17-18|95|97.2|94.2|94
020902|17-18|97.1|93.5|98.8|96.2
020904|17-18|94.9|.|100|93.9
020905|17-18|88.3|83.6|85.9|91.7
020906|17-18|97.9|100|96.3|98.9
020907|17-18|89.3|89.7|84.9|90.8
020908|17-18|98.7|99.3|98.9|98.5
020910|17-18|.|.|.|.
021803|17-18|.|.|.|.
021805|17-18|.|.|.|.
021901|17-18|94.2|87.5|89.8|96.2
021902|17-18|85.1|79.6|84.1|90.1
022004|17-18|100|.|100|-1
022901|17-18|98.3|-1|97.3|100
022902|17-18|-1|.|-1|-1
022903|17-18|.|.|.|.
023902|17-18|100|.|-1|100
024901|17-18|90.6|.|90.4|-1
025901|17-18|98.7|-1|100|98.3
025902|17-18|96.2|83.3|96.1|97.8
025904|17-18|100|-1|100|100
025905|17-18|94.4|.|-1|93.8
025906|17-18|95|.|-1|94.1
025908|17-18|100|.|-1|100
025909|17-18|98.7|.|100|98.3
026901|17-18|94.4|100|97.5|91.3
026902|17-18|96|100|100|88.9
026903|17-18|94.7|83.3|100|100
027903|17-18|95.8|-1|93.2|97
027904|17-18|92.9|100|93.2|92.8
028902|17-18|89.1|93.8|88.7|91
028903|17-18|100|100|100|100
028906|17-18|92.3|.|-1|90.9
029901|17-18|94.5|66.7|94.4|97.6
030901|17-18|95|.|-1|94.1
030902|17-18|98.8|.|100|98.6
030903|17-18|73.7|.|80|71.4
030906|17-18|96|.|80|100
031901|17-18|91.6|-1|91.6|94.1
031903|17-18|91.4|71.4|91.2|93.5
031905|17-18|93.2|.|93.6|-1
031906|17-18|91.5|.|91.9|80
