DISTRICT|SYear|Princpal_Avg_Yrs_18|Campus_Admin_Salary_18|Tch_AfAm_Per_18|Tch_White_Per_18|Tch_Hisp_Per_18|Tch_Yrs_00_Per_18|Tch_Yrs_00_Salary_18|Tch_Yrs_0105_Per_18|Tch_Yrs_0105_Salary_18|Tch_Yrs_0610_Per_18|Tch_Yrs_0610_Salary_18|Tch_Yrs_1120_Per_18|Tch_Yrs_1120_Salary_18|Tch_Yrs_20_Per_18|Tch_Yrs_20_Salary_18|Tch_Avg_Yrs_18|Tch_Avg_Salary_18|Tch_Turnover_18|Tch_Masters_Per_18|Prof_Support_Per_18|Prof_Support_Salary_18|Instr_Staff_Per_18|Instr_Exp_Ratio_18
001902|17-18|13.7|61451|5.9|92.2|2|2|35144|7.9|34225|13.7|39637|35.1|47618|41.3|54684|16.6|48137|15.3|7.1|5.9|50636|71.5|59.3
001903|17-18|9|54812|1|95.1|3.9|2|26291|11.8|35990|14.7|38941|46.1|46421|25.4|52745|15.9|45303|11.7|17.7|3.8|49894|69.3|63.4
001904|17-18|4.3|69905|8.5|86.5|3.4|11.8|34064|18.6|36392|8.6|39227|32.1|48833|28.8|50257|13|44348|37.3|18.6|5.6|56888|62.7|55.8
001906|17-18|12|69773|3|97|0|8.1|26909|23.6|35517|8.9|40845|35.4|46379|24|56263|13|44115|25.9|0.4|2.9|45413|59.5|56.6
001907|17-18|6.7|72894|7.5|77.6|11.1|12.6|30627|25.4|34654|19.8|41062|22|48921|20.2|51000|11.3|41860|25|8.2|4.9|57889|69.7|57.7
001908|17-18|5|51822|7.6|87.6|3.2|7.2|32921|32.3|35769|18.6|41092|24.3|47865|17.6|53283|10.6|42573|32.7|9.9|4.7|55922|61.9|57.6
001909|17-18|9|75610|0|100|0|0|0|24.4|36686|4.9|39601|43.9|47463|26.8|52940|15|45921|15.6|19.5|3|49228|72.4|65.3
002901|17-18|3.2|80755|0.4|74.7|22.9|1.6|42354|21.1|47846|20.6|53224|32.6|56740|24.1|64971|14|55892|14.6|24.2|6.1|66352|62.6|60.6
003801|17-18|4.7|77571|10.9|78.2|10.9|6.2|34309|31.1|42865|26.4|48913|28|52273|8.3|67144|8.9|48574|32.7|30|8.7|54511|62.2|62.7
003902|17-18|3.8|70814|0.5|95.9|2.6|3.5|38854|20.5|42112|22.6|44980|30.2|49909|23.2|55836|13.3|48179|11.7|21|5.7|59551|61.6|63.3
003903|17-18|7.1|72992|11.6|77.2|9.5|9.1|43607|30.4|43197|17.3|44601|24.3|49483|18.8|58657|11.4|47919|16.5|20.7|7.2|63159|61.1|62.7
003904|17-18|4.3|63490|0|97.7|1.5|6.2|37085|27.8|37942|12.3|42507|27.8|50112|26|52644|13.1|45651|20.6|13.3|9|51930|58.3|55.3
003905|17-18|10|68646|4.5|82.1|13.4|3|40875|27.5|42472|24.6|44417|26.9|48216|18.1|56458|11.9|46974|21.2|12|9.1|58254|59.3|58.1
003906|17-18|3.5|67827|0|97.1|0|5.9|36657|12.1|36762|14.7|44152|38|52668|29.4|56207|14|49599|24.4|14.6|3.7|45276|67.4|63.9
