DISTRICT|SYear|Enroll_AfAm_Per_18|Enroll_Hisp_Per_18|Enroll_White_Per_18|Enroll_AmInd_Per_18|Enroll_Asian_Per_18|Enroll_HawPi_Per_18|Enroll_TwoMore_Per_18|Enroll_09_Per_18|Enroll_EcoDis_Per_18|Enroll_Lep_Per_18|Enroll_Daep_Per_18|Enroll_AtRisk_Per_18|Enroll_Mobile_Per_18|Enroll_BilEsl_Per_18|Enroll_CTE_Per_18|Enroll_Gt_Per_18|Enroll_Se_Per_18
001902|17-18|3.5|6.8|84.3|0|0.9|0|4.5|8|43|0.2|0.5|39.3|13.5|0.2|27.8|9.9|14.4
001903|17-18|3.9|11.1|80|0.2|0.6|0.2|4|9.5|54.9|1.5|0.4|29.4|14|1.4|32.2|3.3|10.5
001904|17-18|8.7|9.1|77.3|0.3|0.9|0|3.7|7.1|53.7|2.2|0.3|38.9|15.4|2.2|25.5|8.3|10.1
001906|17-18|8.3|12.8|76.4|0.3|0.3|0|1.9|6.4|47.5|1.4|0|27.8|13.1|1.4|43.1|7.5|9.7
001907|17-18|27.8|40.4|27.3|0.3|0.9|0.1|3.3|7.9|69.1|16.9|3.2|59.1|12.6|15.4|34.2|2.7|9.2
001908|17-18|17.6|26.4|51.3|0.8|0.4|0|3.6|7.9|59.5|6.2|0.9|53.1|15|5.8|26.3|2.2|10.8
001909|17-18|1.7|5.4|88.7|0.5|0.9|0|2.8|7.1|49.2|1.2|1.1|35.7|18.1|1.2|36.4|4.3|12.5
002901|17-18|0.8|67.5|29.3|0.4|0.3|0|1.6|8|39.7|11.7|1.7|41.5|12.7|13|22.4|5.3|7.2
003801|17-18|16.4|25.6|54.1|0|1.4|0.1|2.5|6.5|50.7|5.4|0.2|27.2|5.4|5.4|10|9.8|8
003902|17-18|6.4|24.7|64.9|0.8|1|0|2.2|7.4|53.1|6.9|2|38.7|12.1|6.5|32.1|5.7|8.4
003903|17-18|29|41.3|25.8|0.2|1.2|0.1|2.5|7|74|18.9|3.7|63.2|17|23.7|23.8|11.4|10.4
003904|17-18|2.8|7.3|86.3|0.6|0.1|0|2.9|7.3|55|0.9|1.3|48.8|15.6|0.9|33.4|4.4|8.8
003905|17-18|11.7|53.7|32|0.2|0.4|0.1|2|6.1|88.7|16.1|1|61.6|11.2|15.9|24.6|3.6|9.6
003906|17-18|0.8|4.3|89.9|0|0|0|4.9|9.8|63.6|0|1.2|47.3|19.4|0|35.3|2.7|12.8
003907|17-18|4.9|20.9|70.9|0.3|0.1|0|2.8|7.6|55.6|3.9|2.1|42.8|15.8|3.7|34.6|4.7|12.4
004901|17-18|0.8|42.3|51.5|0.4|2.5|0.1|2.4|7.1|96.3|4.5|2.8|99.6|16.2|4.5|22.6|4.8|9
005901|17-18|0.2|13.5|81.4|1.1|0.6|0|3.2|7.8|41.2|1.7|1.5|32.8|13.3|1.7|29.6|7.2|13.3
005902|17-18|0.4|8.2|88.8|0.5|0.1|0|2.1|8|25|0.3|0.4|32.4|6.9|0.3|26.3|5.3|8.5
005904|17-18|0|27.3|70.8|1.2|0|0|0.7|6.5|26.6|5.8|0|36.2|5.6|5.8|36.9|8.9|8.9
006902|17-18|1.3|11|82.8|1.3|0.3|0|3.2|7|42.7|1.9|0.3|32.3|12.9|1.9|28.2|3|10.2
007901|17-18|0|88.6|11.4|0|0|0|0|6.9|70.9|5.9|2.4|74|14.7|5.5|29.5|4.7|11.6
007902|17-18|0.7|61.1|36.6|0.1|0.4|0|1.1|7.5|50.9|2.3|1.2|37.2|17.2|2.2|28.8|4|9.1
007904|17-18|0.7|80.6|17.6|0.3|0.1|0.2|0.7|6.6|72.7|11.1|2.1|54.8|17.5|10.5|32.9|3.1|7.6
007905|17-18|0.6|69|28.8|0.2|0.4|0|0.9|7.8|58.7|3.1|2.6|46.8|15.1|3|26.7|4.3|8.9
007906|17-18|0.4|87.1|11.6|0.1|0.1|0|0.6|8|76.6|5.2|2.5|55.7|15.1|4.9|34.8|5|8.1
008901|17-18|9.1|30.7|57.3|0.2|0.6|0|2.1|9.3|47.7|9.1|0.7|42.6|7.8|9|35.4|10.4|9.5
008902|17-18|8.6|49.8|38.1|0.1|0.7|0.1|2.5|8.3|58.5|14.4|1.1|47.5|12.6|13.7|28.6|4.8|8.9
008903|17-18|8.4|51.4|37.5|0|0.5|0|2.1|9.2|61.6|15.5|2.7|48.9|22.4|14.9|28.4|3.1|11.3
009901|17-18|0.5|84.5|14.3|0.1|0.5|0|0.1|6.1|83.2|19.6|2.8|62.5|11.4|19.4|27.9|1.7|13.4
010901|17-18|2.8|23.6|70.8|0|0|0|2.8|6.8|64.9|1.2|0.6|60.9|23|1.2|33.9|7.5|8.4
010902|17-18|0.4|32.9|63.7|0.3|0.4|0.1|2.2|7.4|49.1|4.4|1.8|46.5|16.1|4.2|33.5|4.8|11.5
011901|17-18|4.1|66.2|26.5|0.3|0.4|0|2.6|8.9|68.8|25.9|2.3|60.8|17.3|24.8|24.1|6.6|10.7
011902|17-18|11.8|66|19.5|0.1|0.4|0|2.2|7.9|75.9|27.5|2.3|72.5|14.1|31.3|32.2|8.1|9.7
011904|17-18|7.5|31.8|55.9|0.3|0.8|0|3.7|7.9|59.9|7.2|3.2|52.5|12.6|7|24.5|7.6|10
011905|17-18|1.2|50.3|47.2|0|0|0|1.2|4.6|62.3|19.1|0|48.5|15.6|18.2|14.5|7.7|9.9
012901|17-18|1.7|21.1|71.2|0.3|0.7|0|4.9|8.1|57.2|0.5|0.3|36|13.6|0.5|28.1|2.8|11.3
013801|17-18|1.3|80.1|15.1|0|2|0|1.5|0|85.3|1.1|0|48.8|7.4|1.1|0|5.3|7
