SCHOOL_YEAR|DISTRICT_NUMBER|DISTRICT_NAME|GEN_PERC_LOC_TAX_17|GEN_COST_PER_STU_LOC_TAX_17|All_Perc_Loc_Tax_17|ALL_COST_PER_STU_LOC_TAX_17|GEN_PERC_OTH_LOC_INTERM_REV_17|GEN_COST_PER_STU_OTH_LOC_INTERM_REV_17|ALL_PERC_OTH_LOC_INTERM_REV_17|ALL_COST_PER_STU_OTH_LOC_INTERM_REV_17|GEN_PERC_STATE_REV_17|GEN_COST_PER_STU_STATE_REV_17|ALL_PERC_STATE_REV_17|ALL_COST_PER_STU_STATE_REV_17|GEN_PERC_FED_REV_17|GEN_COST_PER_STU_FED_REV_17|ALL_PERC_FED_REV_17|ALL_COST_PER_STU_FED_REV_17|GEN_PERC_TOT_RCPT_17
16-17|112901|SULPHUR SPRINGS ISD|36.18|2894|35.74|3759|1.26|101|2.17|229|61.32|4905|48.91|5145|1.25|100|13.18|1386|100
16-17|112905|CUMBY ISD|20.66|2203|19.65|2448|2.02|215|3.76|468|76.17|8123|68.58|8546|1.14|122|8.02|999|100
16-17|112906|NORTH HOPKINS ISD|17.33|1591|17.11|1915|3.37|309|5.3|593|79.28|7279|68.65|7682|0.02|2|8.94|1000|100
16-17|112907|MILLER GROVE ISD|20.59|2021|20.18|2280|1.22|120|2.06|233|78.19|7675|71.53|8084|0|0|6.23|704|100
16-17|112908|COMO-PICKTON CISD|20.84|1984|17.76|1984|3.02|288|3.76|420|75.29|7167|64.37|7190|0.85|81|14.1|1575|100
16-17|112909|SALTILLO ISD|26.22|2698|17.04|2698|2.94|302|18.16|2875|70.84|7287|47.66|7545|0|0|17.14|2714|100
16-17|112910|SULPHUR BLUFF ISD|46.97|5130|43.55|5414|4.45|486|5.29|657|48.57|5304|44.5|5532|0|0|6.67|829|100
16-17|113901|CROCKETT ISD|39.44|3827|34.53|4619|1.87|181|2.3|307|56.93|5524|42.54|5691|1.76|171|20.63|2759|100
16-17|113902|GRAPELAND ISD|54.79|5433|51.61|5999|1.33|132|1.82|212|42.77|4241|37.08|4310|1.11|110|9.49|1103|100
16-17|113903|LOVELADY ISD|51.6|5023|47.05|5023|0.83|81|3.83|409|46.15|4493|42.43|4530|1.42|138|6.68|714|100
16-17|113905|LATEXO ISD|34.03|3148|34.37|3660|2.42|224|4.35|464|61.64|5702|54.33|5785|1.91|176|6.95|740|100
16-17|113906|KENNARD ISD|30.82|3924|27.94|3924|2.02|257|2.64|370|65.88|8387|61.31|8612|1.28|163|8.11|1139|100
16-17|061901|DENTON ISD|61.73|5267|65.17|7794|2.66|227|4.28|512|33.16|2829|24.83|2970|2.46|210|5.71|683|100
16-17|061902|LEWISVILLE ISD|75.88|6425|74.22|8771|2.61|221|4.81|568|19.96|1690|15.52|1835|1.56|132|5.45|644|100
16-17|061903|PILOT POINT ISD|54.48|5655|53.02|6621|2.52|262|4.35|543|38.92|4040|33.02|4123|4.08|424|9.61|1200|100
16-17|061905|KRUM ISD|36.66|3760|41.11|4950|4.24|435|5.38|648|58.27|5976|50.17|6040|0.82|84|3.34|402|100
16-17|061906|PONDER ISD|48.15|4863|53.07|6848|3.41|344|5.51|712|47.3|4777|37.85|4885|1.15|116|3.56|460|100
16-17|061907|AUBREY ISD|46.95|4057|49.69|5248|1.23|107|4.47|472|51.1|4415|43.65|4611|0.71|62|2.2|232|100
16-17|061908|SANGER ISD|40.11|4036|34.19|4734|7.79|784|15.24|2109|50.9|5122|39.15|5421|1.2|120|11.42|1581|100
16-17|061910|ARGYLE ISD|76.53|7125|76.86|10174|5.09|474|8.57|1134|17.85|1662|13.57|1796|0.52|49|1|132|100
16-17|061911|NORTHWEST ISD|76.17|6343|76.11|8854|1.65|138|5.04|587|21.35|1778|16.1|1873|0.84|70|2.75|320|100
16-17|061912|LAKE DALLAS ISD|52.01|4713|56.15|6724|1.08|97|2.68|321|45.43|4117|35.51|4252|1.49|135|5.65|677|100
16-17|061914|LITTLE ELM ISD|55.59|5102|57.13|6720|2.56|235|4.91|577|39.33|3609|31.45|3700|2.51|231|6.51|765|100
16-17|062901|CUERO ISD|58.39|4579|62.95|7404|3.69|289|3.84|451|36.38|2853|24.99|2939|1.55|121|8.23|967|100
16-17|178914|FLOUR BLUFF ISD|65.53|5114|59.82|5655|1.75|137|4.92|465|30.36|2369|26|2458|2.36|184|9.26|875|100
16-17|178915|WEST OSO ISD|44.36|4404|44.01|5458|0.76|75|0.62|77|46.23|4590|37.66|4670|8.65|859|17.72|2197|100
16-17|179901|PERRYTON ISD|53.79|4370|46.54|4893|1.47|119|7.05|742|44.2|3591|34.81|3660|0.55|44|11.6|1219|100
16-17|180901|BOYS RANCH ISD|0|0|0|0|50.22|12779|47|12780|49.34|12555|46.36|12606|0.44|111|6.65|1808|100
16-17|180902|VEGA ISD|44.79|5156|55.22|9638|2.37|273|4.14|722|51.93|5978|35.26|6154|0.91|104|5.38|939|100
